Thickness_m,Fiber_Orientation,Air_Velocity,Pressure_Drop_Pa,Capture_Efficiency
0.001494949494949495,0.1,3.0,17.267763789780382,0.9002508771736214
0.001494949494949495,0.1,3.5,20.145724421410446,0.8993548198259511
0.001494949494949495,0.18888888888888888,2.0,12.204128027626487,0.98
0.001494949494949495,0.18888888888888888,2.5,15.255160034533107,0.98
0.001494949494949495,0.18888888888888888,3.0,18.30619204143973,0.98
0.001494949494949495,0.18888888888888888,3.5,21.357224048346353,0.98
0.001494949494949495,0.2777777777777778,2.0,12.98500481096658,0.98
0.001494949494949495,0.2777777777777778,2.5,16.231256013708226,0.98
0.001494949494949495,0.2777777777777778,3.0,19.47750721644987,0.98
0.001494949494949495,0.2777777777777778,3.5,22.723758419191515,0.98
0.001494949494949495,0.3666666666666667,2.0,13.872640788816128,0.98
0.001494949494949495,0.3666666666666667,2.5,17.34080098602016,0.98
0.001494949494949495,0.3666666666666667,3.0,20.808961183224188,0.98
0.001494949494949495,0.3666666666666667,3.5,24.277121380428223,0.98
0.001494949494949495,0.4555555555555556,2.0,14.890536104880784,0.98
0.001494949494949495,0.4555555555555556,2.5,18.61317013110098,0.98
0.001494949494949495,0.4555555555555556,3.0,22.335804157321174,0.98
0.001494949494949495,0.4555555555555556,3.5,26.058438183541373,0.98
0.001494949494949495,0.5444444444444445,2.0,16.069634282046437,0.98
0.001494949494949495,0.5444444444444445,2.5,20.08704285255805,0.98
0.001494949494949495,0.5444444444444445,3.0,24.104451423069655,0.98
0.001494949494949495,0.5444444444444445,3.5,28.121859993581268,0.98
0.001494949494949495,0.6333333333333333,2.0,17.45152264339623,0.98
0.001494949494949495,0.6333333333333333,2.5,21.81440330424529,0.98
0.001494949494949495,0.6333333333333333,3.0,26.177283965094347,0.98
0.001494949494949495,0.6333333333333333,3.5,30.540164625943405,0.98
0.001494949494949495,0.7222222222222222,2.0,19.093439392157492,0.98
0.001494949494949495,0.7222222222222222,2.5,23.866799240196865,0.98
0.001494949494949495,0.7222222222222222,3.0,28.640159088236235,0.98
0.001494949494949495,0.7222222222222222,3.5,33.413518936275615,0.98
0.001494949494949495,0.8111111111111111,2.0,21.07640077262302,0.98
0.001494949494949495,0.8111111111111111,2.5,26.345500965778776,0.98
0.001494949494949495,0.8111111111111111,3.0,31.614601158934526,0.98
0.001494949494949495,0.8111111111111111,3.5,36.883701352090284,0.98
0.001494949494949495,0.9,2.0,23.518979451182844,0.98
0.001494949494949495,0.9,2.5,29.398724313978555,0.98
0.001494949494949495,0.9,3.0,35.278469176774266,0.98
0.001494949494949495,0.9,3.5,41.15821403956998,0.98
0.00198989898989899,0.1,2.0,15.323195795435742,0.9589766478939941
0.00198989898989899,0.1,2.5,19.15399474429468,0.9571451460624922
0.00198989898989899,0.1,3.0,22.984793693153613,0.9559044512734104
0.00198989898989899,0.1,3.5,26.81559264201255,0.9550083939257401
0.00198989898989899,0.18888888888888888,2.0,16.244683928664983,0.98
0.00198989898989899,0.18888888888888888,2.5,20.30585491083123,0.98
0.00198989898989899,0.18888888888888888,3.0,24.367025892997475,0.98
0.00198989898989899,0.18888888888888888,3.5,28.42819687516372,0.98
0.00198989898989899,0.2777777777777778,2.0,17.28409424162443,0.98
0.00198989898989899,0.2777777777777778,2.5,21.605117802030538,0.98
0.00198989898989899,0.2777777777777778,3.0,25.92614136243665,0.98
0.00198989898989899,0.2777777777777778,3.5,30.247164922842757,0.98
0.00198989898989899,0.3666666666666667,2.0,18.46560969862687,0.98
0.00198989898989899,0.3666666666666667,2.5,23.082012123283587,0.98
0.00198989898989899,0.3666666666666667,3.0,27.698414547940306,0.98
0.00198989898989899,0.3666666666666667,3.5,32.31481697259702,0.98
0.00198989898989899,0.4555555555555556,2.0,19.820510896361583,0.98
0.00198989898989899,0.4555555555555556,2.5,24.77563862045198,0.98
0.00198989898989899,0.4555555555555556,3.0,29.730766344542374,0.98
0.00198989898989899,0.4555555555555556,3.5,34.68589406863277,0.98
0.00198989898989899,0.5444444444444445,2.0,21.389986172723972,0.98
0.00198989898989899,0.5444444444444445,2.5,26.737482715904967,0.98
0.00198989898989899,0.5444444444444445,3.0,32.08497925908596,0.98
0.00198989898989899,0.5444444444444445,3.5,37.43247580226695,0.98
0.00198989898989899,0.6333333333333333,2.0,23.22939162668282,0.98
0.00198989898989899,0.6333333333333333,2.5,29.036739533353522,0.98
0.00198989898989899,0.6333333333333333,3.0,34.844087440024225,0.98
0.00198989898989899,0.6333333333333333,3.5,40.65143534669493,0.98
0.00198989898989899,0.7222222222222222,2.0,25.41491594766909,0.98
0.00198989898989899,0.7222222222222222,2.5,31.768644934586366,0.98
0.00198989898989899,0.7222222222222222,3.0,38.12237392150364,0.98
0.00198989898989899,0.7222222222222222,3.5,44.47610290842091,0.98
0.00198989898989899,0.8111111111111111,2.0,28.05439832572118,0.98
0.00198989898989899,0.8111111111111111,2.5,35.06799790715147,0.98
0.00198989898989899,0.8111111111111111,3.0,42.08159748858177,0.98
0.00198989898989899,0.8111111111111111,3.5,49.09519707001206,0.98
0.00198989898989899,0.9,2.0,31.30566859380419,0.98
0.00198989898989899,0.9,2.5,39.132085742255235,0.98
0.00198989898989899,0.9,3.0,46.95850289070628,0.98
0.00198989898989899,0.9,3.5,54.78492003915733,0.98
